Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario,Prezzo di acquisto," IVA",Prezzo listino,IVA %,Margine,Costo,Prezzo di vendita,Data,Variazione prezzo
100g,"September 19, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Celeste,L,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 19, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Pistacchio,L,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 19, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Nero,3XL,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 19, 2024",Trapezio 3/4 (https://www.notion.so/Trapezio-3-4-115f56f3c32b80a09c1cf19a7e3a427f?pvs=21),Celeste,56,100G,Donna,Abbadia San Salvatore,No,,45,28.35,16.65,1.575,,18,10.35,45,,,,,,
100g,"September 19, 2024",Uomo Easy (https://www.notion.so/Uomo-Easy-115f56f3c32b8023a932cce9ee960e0c?pvs=21),Nero,M,100G,Uomo,Abbadia San Salvatore,No,,35,13.05,21.95,2.61,,5,8.05,35,,,,,,
100g,"September 19, 2024",Uomo Easy CF (https://www.notion.so/Uomo-Easy-CF-115f56f3c32b8013bcade13091e5b47b?pvs=21),Nero,3XL,100G,Uomo,Abbadia San Salvatore,No,,35,13.05,21.95,2.61,,5,8.05,35,,,,,,
100g,"September 19, 2024",Stock (https://www.notion.so/Stock-115f56f3c32b803aa8fcc14ce3dd80aa?pvs=21),Bluette,48,100G,Donna,Abbadia San Salvatore,No,,35,18.05,16.95,1.805,,10,8.05,35,,,,,,
100g,"September 19, 2024",Easy CS (https://www.notion.so/Easy-CS-115f56f3c32b806dbea2cdebb1d33477?pvs=21),Blu,XL,100G,Donna,Abbadia San Salvatore,No,,35,23.05,11.95,1.536666666667,,15,8.05,35,,,,,,
100g,"September 19, 2024",Calibrato (https://www.notion.so/Calibrato-115f56f3c32b803fb958f0f85467c4ab?pvs=21),Beige,49,100G,Donna,Abbadia San Salvatore,No,,55,32.65,22.35,1.6325,,20,12.65,55,,,,,,
100g,"September 19, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Celeste,L,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 19, 2024",Fly Special 55 (https://www.notion.so/Fly-Special-55-115f56f3c32b808789a0f28811e06cf9?pvs=21),Tortora,M,100G,Donna,Abbadia San Salvatore,No,,55,32.65,22.35,1.6325,,20,12.65,55,,,,,,
100g,"September 19, 2024",Fly Rush (https://www.notion.so/Fly-Rush-115f56f3c32b80afb634cb94d88db3ab?pvs=21),Celeste,S,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 19, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Nero,XL,100G,Donna,Abbadia San Salvatore,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 19, 2024",Calibrato (https://www.notion.so/Calibrato-115f56f3c32b803fb958f0f85467c4ab?pvs=21),Beige,53,100G,Donna,Abbadia San Salvatore,No,,55,32.65,22.35,1.6325,,20,12.65,55,,,,,,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,,10,5.75,25,,,,,,
