Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario
100g,"September 19, 2024",Calibrato (https://www.notion.so/Calibrato-115f56f3c32b803fb958f0f85467c4ab?pvs=21),Beige,53,100G,Donna,Abbadia San Salvatore,No,,55,32.65,22.35,1.6325,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,L,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Verde Acido,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,35,23.55,11.45,1.51935483871,
Spolverini,"September 19, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Beige,L,Spolverini,Donna,Abbadia San Salvatore,No,,35,23.55,11.45,1.51935483871,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Salvia,S,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Verde,56,Spolverini,Uomo,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Nero,L,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Spolverini,"September 19, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Bianco,2XL,Spolverini,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Gilet,"September 19, 2024",Gilet CS (https://www.notion.so/Gilet-CS-194026f80de84746ab097ff8b1bd4a21?pvs=21),Beige,XL,Gilet,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Gilet,"September 19, 2024",Gilet CS (https://www.notion.so/Gilet-CS-194026f80de84746ab097ff8b1bd4a21?pvs=21),Nero,XL,Gilet,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
Gilet,"September 19, 2024",Gilet Uomo (https://www.notion.so/Gilet-Uomo-12926fe15a294a75a5f174f080d566a4?pvs=21),Nero,XL,Gilet,Uomo,Abbadia San Salvatore,No,,25,16.25,8.75,1.547619047619,
Gilet,"September 19, 2024",Gilet Plus (https://www.notion.so/Gilet-Plus-05bc7eaacdca4102880be1dde048cc44?pvs=21),Rosa,48,Gilet,Donna,Abbadia San Salvatore,No,,30,18.9,11.1,1.575,
Gilet,"September 19, 2024",Gilet CS (https://www.notion.so/Gilet-CS-194026f80de84746ab097ff8b1bd4a21?pvs=21),Blu,50,Gilet,Donna,Abbadia San Salvatore,No,,25,15.75,9.25,1.575,
K-Way pesanti,"September 19, 2024",K-Way Peso Uomo (https://www.notion.so/K-Way-Peso-Uomo-48b979b98fe84496b9787c28cffe5293?pvs=21),Verde,XL,K-Way,Uomo,Abbadia San Salvatore,No,,35,20.05,14.95,1.670833333333,
K-Way pesanti,"September 19, 2024",K-Way Peso Uomo (https://www.notion.so/K-Way-Peso-Uomo-48b979b98fe84496b9787c28cffe5293?pvs=21),Verde,2XL,K-Way,Uomo,Abbadia San Salvatore,No,,35,20.05,14.95,1.670833333333,
K-Way pesanti,"September 19, 2024",K-Way Peso Lungo (https://www.notion.so/K-Way-Peso-Lungo-1cc1df5fab6a4ce6b6e1ab92b6cfdf89?pvs=21),Bianco,2XL,K-Way,Donna,Abbadia San Salvatore,No,,65,36.95,28.05,1.679545454545,
Pelliccia,"September 19, 2024",Pelliccia (https://www.notion.so/Pelliccia-116f56f3c32b8013aadac721b2beb71c?pvs=21),Viola,One Size,Pelliccia,Donna,Abbadia San Salvatore,No,30,70,21.1,48.9,4.22,
Piumino,"September 19, 2024",Piuma Over (https://www.notion.so/Piuma-Over-4e7852d3b8bf48b0b8e90ed85cc8e2bb?pvs=21),Nero,2XL,Piumino,Donna,Abbadia San Salvatore,No,,65,39.95,25.05,1.598,
Piumino,"September 19, 2024",Piuma Over (https://www.notion.so/Piuma-Over-4e7852d3b8bf48b0b8e90ed85cc8e2bb?pvs=21),Fucsia,L,Piumino,Donna,Abbadia San Salvatore,No,10,55,37.65,17.35,1.506,
Parka,"September 19, 2024",Parka Light (https://www.notion.so/Parka-Light-115f56f3c32b800e9b56eca27ea3dfcd?pvs=21),Verde,L,Parka,Donna,Abbadia San Salvatore,No,,35,18.05,16.95,1.805,
Pelle B-One,"September 19, 2024",Pelle Emma BO (https://www.notion.so/Pelle-Emma-BO-116f56f3c32b8029928ad3541195d71b?pvs=21),Nero,54,Pelle,Donna,Abbadia San Salvatore,No,,180,91.4,88.6,1.828,
Pelle Barone,"September 19, 2024",Pelle Faby (https://www.notion.so/Pelle-Faby-115f56f3c32b802faa9dff116ece8fd3?pvs=21),Nero,M,Pelle,Donna,Abbadia San Salvatore,No,19,170,134.1,35.9,1.411578947368,
Pelle Barone,"September 19, 2024",Pelle Michele (https://www.notion.so/Pelle-Michele-115f56f3c32b809bb1d0f5578eb2eda3?pvs=21),Nero,3XL,Pelle,Uomo,Abbadia San Salvatore,No,9,280,189.4,90.6,1.5152,
ANON 100g,"September 19, 2024",100g Anon (https://www.notion.so/100g-Anon-116f56f3c32b8026a92fce554570f39d?pvs=21),ANON,ANON,100G,Donna,Abbadia San Salvatore,No,,45,30.35,14.65,1.5175,
ANON 100g,"September 19, 2024",100g Anon (https://www.notion.so/100g-Anon-116f56f3c32b8026a92fce554570f39d?pvs=21),ANON,ANON,100G,Donna,Abbadia San Salvatore,No,,45,30.35,14.65,1.5175,
100g,"September 21, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Bianco,L,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Fucsia,S,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Pistacchio,2XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Fly CS (https://www.notion.so/Fly-CS-118f56f3c32b80729618f752e76fb7ec?pvs=21),Celeste,2XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Fly Rush (https://www.notion.so/Fly-Rush-115f56f3c32b80afb634cb94d88db3ab?pvs=21),Verde,M,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Fly Rush (https://www.notion.so/Fly-Rush-115f56f3c32b80afb634cb94d88db3ab?pvs=21),Bluette,XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Fly Rush (https://www.notion.so/Fly-Rush-115f56f3c32b80afb634cb94d88db3ab?pvs=21),Nero,2XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Nero,3XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Verde Fluo,3XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Verde Fluo,L,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Nero,XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,
100g,"September 21, 2024",HeD CS (https://www.notion.so/HeD-CS-91150e24a1654403b3abdb417bddeeca?pvs=21),Pistacchio,52,100G,Donna,Corsico Milano,No,-5,50,31.5,18.5,1.575,
100g,"September 21, 2024",HeD CS (https://www.notion.so/HeD-CS-91150e24a1654403b3abdb417bddeeca?pvs=21),Nero,56,100G,Donna,Corsico Milano,No,,45,30.35,14.65,1.5175,
100g,"September 21, 2024",HeD CS (https://www.notion.so/HeD-CS-91150e24a1654403b3abdb417bddeeca?pvs=21),Beige,54,100G,Donna,Corsico Milano,No,,45,30.35,14.65,1.5175,
100g,"September 21, 2024",HeD CS Lungo (https://www.notion.so/HeD-CS-Lungo-beb5984dce484c44a9df34a8ba10a7ea?pvs=21),Verde,54,100G,Donna,Corsico Milano,No,-10,55,32.65,22.35,1.6325,
100g,"September 21, 2024",HeD Chanel (https://www.notion.so/HeD-Chanel-82fa229e61c74f8b9ea5ce9c4dc357c4?pvs=21),Blu,52,100G,Donna,Corsico Milano,No,,35,23.05,11.95,1.536666666667,
100g,"September 21, 2024",Uomo Easy (https://www.notion.so/Uomo-Easy-115f56f3c32b8023a932cce9ee960e0c?pvs=21),Nero,2XL,100G,Uomo,Corsico Milano,No,,35,13.05,21.95,2.61,
100g,"September 21, 2024",100g Blazer (https://www.notion.so/100g-Blazer-115f56f3c32b808cabbfc62af17239b5?pvs=21),Blu,S,100G,Donna,Corsico Milano,No,,35,23.05,11.95,1.536666666667,
100g,"September 21, 2024",Easy CS (https://www.notion.so/Easy-CS-115f56f3c32b806dbea2cdebb1d33477?pvs=21),Bianco,2XL,100G,Donna,Corsico Milano,No,,35,23.05,11.95,1.536666666667,
100g,"September 21, 2024",Uomo Giacca (https://www.notion.so/Uomo-Giacca-115f56f3c32b80fba6e8e8e6dc36595c?pvs=21),Nero,M,100G,Uomo,Corsico Milano,No,,45,15.35,29.65,3.07,
100g,"September 21, 2024",Easy CS (https://www.notion.so/Easy-CS-115f56f3c32b806dbea2cdebb1d33477?pvs=21),Verde,2XL,100G,Donna,Corsico Milano,No,,35,23.05,11.95,1.536666666667,
